benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,dram_joules,dram_mJ,total_joules,total_mJ
fdct,47524307928,17169291740550,17216816048478,15365711990.000,15365.711990,40.972,42.00,42.00,45.00,48.00,270.121521,270121.521,,,270.121521,270121.521
fdct,47513897476,17216912222250,17264426119726,15362337750.000,15362.337750,30.794,41.00,42.00,45.00,49.00,269.899429,269899.429,,,269.899429,269899.429
fdct,47517640796,17264523187490,17312040828286,15363676773.000,15363.676773,30.792,43.00,42.00,45.00,50.00,270.005234,270005.234,,,270.005234,270005.234
fdct,47499966172,17312168710794,17359668676966,15357838404.000,15357.838404,40.981,42.00,42.00,45.00,49.00,270.268112,270268.112,,,270.268112,270268.112
fdct,47522477356,17359765539907,17407288017263,15365320782.000,15365.320782,30.730,42.00,41.00,45.00,49.00,270.291351,270291.351,,,270.291351,270291.351
fdct,47517998200,17407384980062,17454902978262,15363878727.000,15363.878727,30.768,41.00,42.00,45.00,49.00,269.988739,269988.739,,,269.988739,269988.739
fdct,47510469044,17455031743470,17502542212514,15361287115.000,15361.287115,41.068,42.00,42.00,44.00,49.00,269.838303,269838.303,,,269.838303,269838.303
fdct,47513784104,17502638967346,17550152751450,15362314850.000,15362.314850,30.807,42.00,42.00,45.00,49.00,270.388763,270388.763,,,270.388763,270388.763
fdct,47527223680,17550248965386,17597776189066,15366725019.000,15366.725019,30.756,42.00,42.00,45.00,49.00,270.198395,270198.395,,,270.198395,270198.395
fdct,47525887740,17597904997674,17645430885414,15366322736.000,15366.322736,41.078,42.00,42.00,45.00,49.00,270.107697,270107.697,,,270.107697,270107.697
fdct,47507977664,17645527467730,17693035445394,15360395431.000,15360.395431,30.712,43.00,42.00,45.00,49.00,270.006393,270006.393,,,270.006393,270006.393
fdct,47626348460,17693162990604,17740789339064,15398680350.000,15398.680350,41.049,43.00,42.00,45.00,50.00,272.334259,272334.259,,,272.334259,272334.259
fdct,47526096476,17740917418174,17788443514650,15366308173.000,15366.308173,40.893,41.00,42.00,45.00,50.00,270.185074,270185.074,,,270.185074,270185.074
fdct,47515266784,17788571398236,17836086665020,15362758559.000,15362.758559,41.049,42.00,41.00,45.00,50.00,270.151169,270151.169,,,270.151169,270151.169
fdct,47519130268,17836214950487,17883734080755,15364055345.000,15364.055345,41.029,42.00,42.00,45.00,49.00,270.108765,270108.765,,,270.108765,270108.765
fdct,47515536440,17883862190570,17931377727010,15362916048.000,15362.916048,41.037,42.00,42.00,45.00,49.00,270.085907,270085.907,,,270.085907,270085.907
fdct,47523620216,17931474595166,17978998215382,15365447021.000,15365.447021,30.726,42.00,42.00,45.00,50.00,270.236176,270236.176,,,270.236176,270236.176
fdct,47517276612,17979125459568,18026642736180,15363454393.000,15363.454393,40.952,42.00,42.00,45.00,49.00,270.239655,270239.655,,,270.239655,270239.655
fdct,47518378436,18026740047338,18074258425774,15363770794.000,15363.770794,30.845,42.00,42.00,45.00,49.00,270.031265,270031.265,,,270.031265,270031.265
fdct,47500151784,18074354247910,18121854399694,15357895379.000,15357.895379,30.771,42.00,41.00,45.00,47.00,269.859177,269859.177,,,269.859177,269859.177
